rank,SASRec,BERT4Rec,"gSASRec (256 negatives, t=1.0)"
2270,0.00019709084881469607,5.157035047886893e-07,4.184801127848914e-07
2271,0.00019666172738652676,5.145323598299001e-07,4.181111421530659e-07
2272,0.0001957905915332958,5.140772145750816e-07,4.1647672333056107e-07
2273,0.0001949921133928001,5.13912482347223e-07,4.149804055941786e-07
2274,0.00019414057896938175,5.106553544464987e-07,4.1246201476496935e-07
2275,0.00019400955352466553,5.103033231534937e-07,4.07723916850955e-07
2276,0.00019131434964947402,5.096904942547553e-07,4.067456416123605e-07
2277,0.00019059260375797749,5.094669859317946e-07,4.064470715547941e-07
2278,0.0001898127666208893,5.09243022861483e-07,4.052688495903567e-07
2279,0.00018935598200187087,5.086882310934016e-07,4.0473082663083915e-07
2280,0.00018899791757576168,5.063804451310716e-07,4.021813992949319e-07
2281,0.00018752471078187227,5.03653950545413e-07,4.018716026621405e-07
2282,0.00018646261014509946,5.029498311159841e-07,3.9851076394370466e-07
2283,0.0001862582575995475,5.020886533202429e-07,3.9794454664843215e-07
2284,0.00018426429596729577,5.013613417759188e-07,3.9155648323685455e-07
2285,0.0001800680038286373,4.997388032279559e-07,3.899496050507878e-07
2286,0.0001800393220037222,4.984759698345442e-07,3.8858792095197714e-07
2287,0.00017963002028409392,4.981095571565675e-07,3.882819328282494e-07
2288,0.00017916219076141715,4.969656401954126e-07,3.8821346493023157e-07
2289,0.00017902266699820757,4.953261054652103e-07,3.854763974686648e-07
2290,0.00017685318016447127,4.935672563988192e-07,3.831001151866076e-07
2291,0.0001747974893078208,4.929585202262388e-07,3.823500662747392e-07
2292,0.00017477449728175998,4.916064426652156e-07,3.815970615050901e-07
2293,0.0001744147448334843,4.908559958494152e-07,3.81166046281578e-07
2294,0.00017329362162854522,4.901042984783999e-07,3.808419251072337e-07
2295,0.00017308669339399785,4.893635718872247e-07,3.807203370342904e-07
2296,0.0001724491739878431,4.880003530161048e-07,3.796992302795843e-07
2297,0.00017236599524039775,4.857132012148213e-07,3.7718623957516684e-07
2298,0.00017173030937556177,4.842941621063801e-07,3.771556578158197e-07
2299,0.00017148093320429325,4.834543005927117e-07,3.7533433783210057e-07
2300,0.00017128989566117525,4.829874455936078e-07,3.7421526144498785e-07
2301,0.00016981555381789804,4.806738616025541e-07,3.741688772151974e-07
2302,0.0001689324708422646,4.804822992809932e-07,3.738731777502835e-07
2303,0.00016747713380027562,4.77406445043016e-07,3.7284840459506086e-07
2304,0.0001673475344432518,4.772608122038946e-07,3.723047825587855e-07
2305,0.00016695482190698385,4.767576911035576e-07,3.6881752407680324e-07
2306,0.0001650057965889573,4.765917935856123e-07,3.6614841292248457e-07
2307,0.00016417559527326375,4.7505932343483437e-07,3.6338391851131746e-07
2308,0.0001641632115934044,4.750149571464135e-07,3.6137154779680714e-07
2309,0.00016293142107315361,4.7491346322203754e-07,3.6098990108257567e-07
2310,0.00016281339048873633,4.7195118213494425e-07,3.604608309615287e-07
2311,0.00016246754967141896,4.7065358899089915e-07,3.601175535550283e-07
2312,0.00016095628961920738,4.7026816218931344e-07,3.590555195387424e-07
2313,0.00016073606093414128,4.6989921997919737e-07,3.589911443668825e-07
2314,0.00016060123743955046,4.6927897301429766e-07,3.5894015582016436e-07
2315,0.000159838906256482,4.6510376705555245e-07,3.5887509852727817e-07
2316,0.00015937426360324025,4.6354637106560403e-07,3.5830606748277205e-07
2317,0.00015895585238467902,4.556166004476836e-07,3.579771714612434e-07
2318,0.00015871200594119728,4.542170017884928e-07,3.5729976843867917e-07
